"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq"
"2855","Republic of Moldova",2025,"Europe and central Asia",21071222.5363389,21077420.9046462,21076516.1415955,21078413.1979135,16.962215580397,37754324901.9181,100110795569.511
"2856","Republic of Moldova",2026,"Europe and central Asia",20857410.0239155,20863843.1732698,20862911.294217,20864866.5206466,16.962215580397,39641286060.516,101509225771.822
"2857","Republic of Moldova",2027,"Europe and central Asia",20860715.7768878,20867299.3582347,20866347.2988225,20868347.0693938,16.962215580397,41621368299.2388,103157804883.658
"2858","Republic of Moldova",2028,"Europe and central Asia",20958023.402436,20964719.217797,20963748.8390874,20965789.6522772,16.962215580397,43703269141.5667,105059820857.903
"2859","Republic of Moldova",2029,"Europe and central Asia",21108772.2274624,21115564.7555383,21114576.7059948,21116657.2574572,16.962215580397,45500198486.3703,107219872542.481
"2860","Republic of Moldova",2030,"Europe and central Asia",21264779.7872536,21271663.094759,21270657.8009237,21272776.7501964,16.962215580397,47371011436.0767,109576720672.124
"2861","Republic of Moldova",2031,"Europe and central Asia",21408792.9606554,21415765.9428761,21414743.6413905,21416900.2796447,16.962215580397,49318745832.4848,112133057720.919
"2862","Republic of Moldova",2032,"Europe and central Asia",21526310.8599155,21533367.9526163,21532329.6400189,21534521.680839,16.962215580397,51346564423.0856,114891956824.528
"2863","Republic of Moldova",2033,"Europe and central Asia",21620349.6424302,21627492.4344139,21626438.209041,21628665.2552538,16.962215580397,53457759996.758,117856873933.872
"2864","Republic of Moldova",2034,"Europe and central Asia",21706205.3704804,21713443.6086371,21712372.2525785,21714636.647542,16.962215580397,55655760730.6271,121031650732.28
"2865","Republic of Moldova",2035,"Europe and central Asia",21779852.8862033,21787193.499534,21786104.142189,21788407.4549863,16.962215580397,57944135756.767,124420518313.705
"2866","Republic of Moldova",2036,"Europe and central Asia",21825151.0588387,21832590.3762992,21831483.5625128,21833824.5146917,16.962215580397,60326600957.7875,128028101621.28
"2867","Republic of Moldova",2037,"Europe and central Asia",21838733.8706212,21846258.9968682,21845136.6834515,21847511.0695487,16.962215580397,62807025000.7157,131859424647.002
"2868","Republic of Moldova",2038,"Europe and central Asia",21822329.6606999,21829927.3084111,21828791.5539858,21831195.0063415,16.962215580397,65389435618.9698,135919916394.907
"2869","Republic of Moldova",2039,"Europe and central Asia",21802901.7820328,21810576.6668051,21809426.8011677,21811811.2481593,16.962215580397,68078026152.6266,140215417611.656
"2870","Republic of Moldova",2040,"Europe and central Asia",21766808.9327554,21774550.5622393,21773388.2533771,21775803.2798889,16.962215580397,70877162357.6024,144752188289.961
"2871","Republic of Moldova",2041,"Europe and central Asia",21710366.2864062,21718173.5031758,21716998.9520882,21719443.8035567,16.962215580397,73791389494.8041,149536915951.828
"2872","Republic of Moldova",2042,"Europe and central Asia",21639045.5849564,21646920.7626826,21645733.6457123,21648208.7351741,16.962215580397,76825439710.7621,154576724720.115
"2873","Republic of Moldova",2043,"Europe and central Asia",21538589.4787987,21546533.4948167,21545333.6771562,21547839.0847931,16.962215580397,79984239721.7298,159879185188.437
"2874","Republic of Moldova",2044,"Europe and central Asia",21435989.1112388,21444006.385024,21442793.2042606,21445330.1537536,16.962215580397,83272918813.7266,165452325100.956
"2875","Republic of Moldova",2045,"Europe and central Asia",21326169.9760762,21334255.7761598,21333029.9987887,21335596.7106738,16.962215580397,86696817171.5158,171304640855.182
"2876","Republic of Moldova",2046,"Europe and central Asia",21207225.9715887,21215377.6609135,21214139.7191057,21216735.184039,16.962215580397,90261494550.0416,177445109842.398
"2877","Republic of Moldova",2047,"Europe and central Asia",21084552.5280375,21092768.6748413,21091518.8136329,21094142.4193704,16.962215580397,93972739302.4057,183883203641.944
"2878","Republic of Moldova",2048,"Europe and central Asia",20952345.7182291,20960618.7628992,20959358.19854,20962007.182397,16.962215580397,97836577779.0441,190628902087.126
"2879","Republic of Moldova",2049,"Europe and central Asia",20834863.5003808,20843182.3835471,20841912.883482,20844583.3242745,16.962215580397,101859284113.365,197692708222.133
"2880","Republic of Moldova",2050,"Europe and central Asia",20725642.2108101,20733997.829287,20732720.897593,20735409.5243419,16.962215580397,106047390409.741,205085664170.985
"2881","Romania",2021,"Europe and central Asia",122044311.101717,122044311.101717,122044311.101717,122044311.101717,22.140419937053,5.92e+11,1782680404490.06
"2882","Romania",2022,"Europe and central Asia",121724783.67814,121734719.985886,121733158.710811,121736400.11326,22.140419937053,620078560000,1824617670292.91
"2883","Romania",2023,"Europe and central Asia",126924877.845538,126940365.528031,126938032.833578,126942803.602119,22.140419937053,633627276536,1870674783901.9
"2884","Romania",2024,"Europe and central Asia",124765089.176969,124783289.963554,124780637.977924,124786013.510609,22.140419937053,657641750316.714,1917428784567.58
"2885","Romania",2025,"Europe and central Asia",123268522.79047,123288219.879252,123285412.906732,123291077.668295,22.140419937053,682901769946.379,1967161990540.71
"2886","Romania",2026,"Europe and central Asia",122286480.506848,122307140.933201,122304231.183943,122310094.55619,22.140419937053,709186659071.615,2020001210637.37
"2887","Romania",2027,"Europe and central Asia",121653967.422017,121675319.205695,121672328.638645,121678352.362613,22.140419937053,736483253579.281,2076018054561.51
"2888","Romania",2028,"Europe and central Asia",120576004.090617,120597742.125296,120594704.669368,120600824.527631,22.140419937053,763733133961.714,2135277636941.96
"2889","Romania",2029,"Europe and central Asia",119422659.651978,119444651.580431,119441581.239473,119447771.390781,22.140419937053,803602131871.563,2197607478152.4
"2890","Romania",2030,"Europe and central Asia",118383831.261194,118406161.394226,118403044.488179,118409332.845283,22.140419937053,845552402576.387,2265647990864.26
"2891","Romania",2031,"Europe and central Asia",117428014.02844,117450714.09483,117447545.06711,117453942.755014,22.140419937053,889692594316.026,2339574444039.3
"2892","Romania",2032,"Europe and central Asia",116424273.357363,116447277.337192,116444065.138456,116450553.22235,22.140419937053,936137027071.214,2419577398367.76
"2893","Romania",2033,"Europe and central Asia",115207166.612082,115230181.362513,115226969.143419,115233455.996947,22.140419937053,985005988644.257,2505863197429.18
"2894","Romania",2034,"Europe and central Asia",113996471.786208,114019384.592245,114016188.900324,114022639.79771,22.140419937053,1036426046195.95,2598654499848.68
"2895","Romania",2035,"Europe and central Asia",112693885.503374,112716762.403009,112713572.712664,112720011.456014,22.140419937053,1090530374045.59,2698190853821.03
"2896","Romania",2036,"Europe and central Asia",111341234.933749,111364101.425343,111360913.426134,111367349.956129,22.140419937053,1147459098583.07,2804729315484.79
"2897","Romania",2037,"Europe and central Asia",110064277.892177,110087121.01284,110083936.006872,110090368.38423,22.140419937053,1207359661186.31,2918545112742.76
"2898","Romania",2038,"Europe and central Asia",108875514.982486,108898340.455816,108895157.597247,108901587.545898,22.140419937053,1270387200084.06,3039932356242.85
"2899","Romania",2039,"Europe and central Asia",107780699.128399,107803500.893976,107800321.268696,107806746.146893,22.140419937053,1336704952152.93,3169204799355.89
"2900","Romania",2040,"Europe and central Asia",106579097.430607,106601818.587799,106598650.552351,106605052.673388,22.140419937053,1406484675689.37,3306696649114.14
"2901","Romania",2041,"Europe and central Asia",105331452.655189,105354038.08627,105350889.344186,105357253.365333,22.140419937053,1479907095251.57,3452763430206.36
"2902","Romania",2042,"Europe and central Asia",104203881.072319,104226291.788516,104223168.164786,104229481.824013,22.140419937053,1557162369723.29,3607782904262.98
"2903","Romania",2043,"Europe and central Asia",103188858.272018,103211159.630097,103208052.234763,103214332.734946,22.140419937053,1638450584811.92,3772156046808.33
"2904","Romania",2044,"Europe and central Asia",102295304.732754,102317553.155502,102314454.465836,102320716.434019,22.140419937053,1723982271256.38,3946308084406.38
"2905","Romania",2045,"Europe and central Asia",101291987.488899,101314137.969151,101311053.956216,101317286.160303,22.140419937053,1813978950086.85,4130689594682.56
"2906","Romania",2046,"Europe and central Asia",100273130.410171,100295107.45755,100292048.513858,100298230.570449,22.140419937053,1908673706348.59,4325777672067.41
"2907","Romania",2047,"Europe and central Asia",99407018.416602,99428799.7951485,99425769.0047503,99431894.9323435,22.140419937053,2008311792775.79,4532077162277.73
"2908","Romania",2048,"Europe and central Asia",98490129.7220398,98511727.3905849,98508722.1523284,98514799.0464995,22.140419937053,2113151264978.81,4750121968729.76
"2909","Romania",2049,"Europe and central Asia",97623624.8245383,97645086.2705863,97642099.6832343,97648141.9737436,22.140419937053,2223463649789.99,4980476434264.73
