"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc","gdp_cf","gdp_cf_lower","gdp_cf_upper","cs_cf","cs_cf_lower","cs_cf_upper"
"2221","Mauritius",2021,"Sub-Saharan Africa",6569969.38469148,6569969.38469148,6569969.38469148,6569969.38469148,14.2908462603769,26485649797,92020581564.9195,0.42614,16.8282578245217,5.666782632629,1428.983177,1298695,105164906.178155,26485649796.9999,26485649796.9999,26485649796.9999,92020581564.9195,92020581564.9195,92020581564.9195
"2222","Mauritius",2022,"Sub-Saharan Africa",6600265.73766739,6603626.98059621,6603195.76874749,6604098.95066471,14.2908462603769,28787517620.8573,91204575980.2246,0.42614,18.3485255188425,5.78011828528157,1486.20563604613,1299134,111601383.595517,28796486755.6559,28795685431.7536,28797363786.4159,91219604935.2864,91219604935.2864,91219604935.2864
"2223","Mauritius",2023,"Sub-Saharan Africa",6635434.65205706,6640705.36781148,6640027.63632268,6641441.10667256,14.2908462603769,30253378018.1114,90758327066.589,0.42614,19.2934423327863,5.8957206509872,1545.71952152189,1299804,118452834.811932,30269645093.0231,30268306699.3307,30271098150.0727,90789835121.3167,90789720605.3498,90789960456.4343
"2224","Mauritius",2024,"Sub-Saharan Africa",6668797.60322414,6675145.03032956,6674328.14303672,6676028.29281514,14.2908462603769,31403006382.7996,90543874454.3985,0.42614,20.0109847808146,6.01363506400696,1607.61659171888,1301310,125805699.386241,31425532268.7121,31423833644.0385,31427369245.134,90593059721.5706,90592759663.6171,90593386444.0813
"2225","Mauritius",2025,"Sub-Saharan Africa",6706073.52073247,6713033.88026262,6712137.50262633,6713999.39802368,14.2908462603769,32480443531.7935,90504436094.9808,0.42614,20.6536196769341,6.13390776528707,1671.99227931419,1302646,133597373.229031,32508798056.3532,32506839475.5489,32510908467.6677,90572359937.6049,90571832134.7084,90572932843.4664
"2226","Mauritius",2026,"Sub-Saharan Africa",6740218.69692908,6747542.26796942,6746598.15891475,6748556.34965434,14.2908462603769,33599070007.0285,90620944540.0489,0.42614,21.3030078722872,6.25658592059284,1738.94583850819,1303774,141848838.717733,33633280755.0571,33631109052.0058,33635614668.5809,90708616487.2706,90707835176.7473,90709462343.4754
"2227","Mauritius",2027,"Sub-Saharan Africa",6770854.2307509,6778416.30856891,6777440.41239475,6779463.51527958,14.2908462603769,34717919038.2626,90891488752.6673,0.42614,21.9323489492926,6.38171763900468,1808.58049805427,1304625,150577861.423458,34758214316.3967,34755851040.8802,34760751777.5768,90999937507.3965,90998884907.655,91001074606.7846
"2228","Mauritius",2028,"Sub-Saharan Africa",6802498.33828177,6810232.27521466,6809233.13514415,6811304.22478006,14.2908462603769,35874025742.2368,91308398749.5942,0.42614,22.5583899086001,6.50935199178479,1881.00362041656,1305185,159808347.965751,35920784634.9417,35918237237.2456,35923519229.4163,91438702453.5134,91437364751.6882,91440145322.6082
"2229","Mauritius",2029,"Sub-Saharan Africa",6826504.5956549,6834376.08351541,6833358.1025288,6835468.22356168,14.2908462603769,37191900102.4477,91869680678.3456,0.42614,23.2700364428189,6.63953903162048,1956.32686730102,1305561,169580736.051603,37245790282.6942,37243046356.3712,37248735684.1061,92022989403.8574,92021354542.4351,92024750926.1897
"2230","Mauritius",2030,"Sub-Saharan Africa",6850376.72406647,6858375.04365607,6857339.87700269,6859485.69767794,14.2908462603769,38558188121.1028,92591233909.382,0.42614,23.9811206075813,6.77232981225288,2034.66637181498,1305576,179900953.574947,38619807097.342,38616858300.7545,38622972487.5911,92768813083.7031,92766867835.0596,92770907452.7063
