"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc"
"551","Cambodia",2031,"East Asia and Pacific",69228326.0408513,69246041.3037664,69238864.3014168,69256753.529108,22.0643413329783,134081423636.722,295704506399.207,0.516049904761905,33.8897288869225,1.66140972198428,369.275841139683,18158562,111406132.221877
"552","Cambodia",2032,"East Asia and Pacific",69711278.9109147,69729424.707074,69722077.0935279,69740385.5871614,22.0643413329783,143618860863.967,310503464054.569,0.516049904761905,35.325558175538,1.69463791642397,370.18207116692,18304220,114826870.09872
"553","Cambodia",2033,"East Asia and Pacific",70216610.021496,70235163.9316289,70227654.956919,70246358.9700637,22.0643413329783,153834712045.93,326666846531.402,0.516049904761905,36.7830350411119,1.72853067475245,371.09052514918,18446277,118322049.289023
"554","Cambodia",2034,"East Asia and Pacific",70722782.0842633,70741789.1940307,70734100.8535403,70753244.4114679,22.0643413329783,164777233908.5,344276120159.25,0.516049904761905,38.268872508722,1.7631012882475,372.001208544214,18584800,121893207.539469
"555","Cambodia",2035,"East Asia and Pacific",71214994.2013703,71234502.6015684,71226614.8979679,71246245.8921681,22.0643413329783,176498115759.66,363419325479.899,0.516049904761905,39.788793153994,1.79836331401245,372.914126823164,18721008,125549647.905375
"556","Cambodia",2036,"East Asia and Pacific",71638587.9013855,71658632.5599854,71650530.9303298,71670684.2505608,22.0643413329783,189052723654.826,384191505913.39,0.516049904761905,41.3610997346959,1.8343305802927,373.829285470599,18853417,129282874.667008
"557","Cambodia",2037,"East Asia and Pacific",72069940.6918111,72090532.6481324,72082212.8098127,72102898.7698802,22.0643413329783,202500361930.079,406695168864.214,0.516049904761905,42.9660738669948,1.87101719189855,374.746689984548,18981452,133089874.224932
"558","Cambodia",2038,"East Asia and Pacific",72538284.6583478,72559432.7948061,72550891.4953036,72572117.9560265,22.0643413329783,216904553338.69,431040781477.772,0.516049904761905,44.5961536363851,1.90843753573652,375.666345876532,19106342,136980197.343903
"559","Cambodia",2039,"East Asia and Pacific",72969786.4707516,72991578.7134046,72982779.3869541,73004635.8494036,22.0643413329783,232333339114.237,457347303419.304,0.516049904761905,46.276454455092,1.94660628645125,376.588258671598,19226144,140940915.351016
"560","Cambodia",2040,"East Asia and Pacific",73390008.5593315,73412520.5107872,73403430.9479874,73425996.3356724,22.0643413329783,248859600377.705,485742759220.81,0.516049904761905,48.0016037370231,1.98553841218028,377.512433908352,19341077,144974028.645149
"561","Cambodia",2041,"East Asia and Pacific",73784304.05353,73807586.2330686,73798183.9648916,73821512.6743489,22.0643413329783,266561402406.823,516364852926.992,0.516049904761905,49.7792904060859,2.02524918042388,378.438877138992,19451785,149084904.341051
"562","Cambodia",2042,"East Asia and Pacific",74209302.702524,74233389.0375475,74223659.5755357,74247786.5500781,22.0643413329783,285522363393.853,549361627969.657,0.516049904761905,51.5923481651714,2.06575416403236,379.367593929342,19557764,153270321.46054
"563","Cambodia",2043,"East Asia and Pacific",74698781.1078488,74723740.4159929,74713654.775466,74738650.724464,22.0643413329783,305832049433.744,584892175412.381,0.516049904761905,53.4297135270322,2.10706924731301,380.298589858884,19659260,157532690.387342
"564","Cambodia",2044,"East Asia and Pacific",75044648.7381414,75070447.7213964,75060020.5584344,75085850.267339,22.0643413329783,327586397608.453,623127393934.466,0.516049904761905,55.3708610394674,2.14921063225927,381.231870520793,19755834,161868949.660547
"565","Cambodia",2045,"East Asia and Pacific",75324075.811862,75350586.2306804,75339870.6014331,75366404.6454619,22.0643413329783,350888169165.972,664250805166.479,0.516049904761905,57.3930151913498,2.19219484490445,382.16744152197,19846888,166274348.911554
"566","Cambodia",2046,"East Asia and Pacific",75529986.7033692,75557046.6503223,75546109.5984729,75573184.6014439,22.0643413329783,375847434934.737,708459428249.973,0.516049904761905,59.5042184050543,2.23603874180254,383.105308483075,19933041,170754065.94437
"567","Cambodia",2047,"East Asia and Pacific",75718981.73582,75746562.0076258,75735416.3660816,75763002.157648,22.0643413329783,402582095266.381,755964717772.718,0.516049904761905,61.686430748811,2.28075951663859,384.045477038563,20014133,175306868.435714
"568","Cambodia",2048,"East Asia and Pacific",75893440.6539109,75921489.7020169,75910157.7836296,75938201.4120639,22.0643413329783,431218436962.891,806993569529.112,0.516049904761905,63.9422281925884,2.32637470697136,384.987952836716,20090893,179939308.748263
"569","Cambodia",2049,"East Asia and Pacific",75976279.2544054,76004803.0440346,75993281.9086907,76021788.8917143,22.0643413329783,461891729818.933,861789398874.882,0.516049904761905,66.3099227459939,2.37290220111079,385.932741539676,20161657,184636553.904454
"570","Cambodia",2050,"East Asia and Pacific",76035590.2410127,76064562.4827705,76052863.6170182,76081806.1129302,22.0643413329783,494746865597.228,920613296787.185,0.516049904761905,68.7651980812026,2.42036024513301,386.879848823482,20227442,189407462.119742
"571","Cameroon",2021,"Sub-Saharan Africa",80295493.5870195,80295493.5870195,80295493.5870195,80295493.5870195,15.4728627787583,1e+11,240437978051.347,0.50353,23.4112316020025,0.970556693493681,155.5611965,26845044,40530905.2807901
"572","Cameroon",2022,"Sub-Saharan Africa",81593819.1172817,81603965.0994952,81599674.8294428,81609952.4108532,15.4728627787583,1.03775e+11,243888941927.538,0.50353,23.9296691747286,0.989967827363556,154.591231915691,27552212,42166000.5724317
"573","Cameroon",2023,"Sub-Saharan Africa",82968447.1253043,82984932.4543883,82977942.6842064,82994586.7101087,15.4728627787583,107905245000,247751458179.817,0.50353,24.4818977164078,1.00976718391083,153.627315313244,28276861,43865278.473615
"574","Cameroon",2024,"Sub-Saharan Africa",84508880.9023613,84529473.475807,84520719.1222138,84541462.886969,15.4728627787583,112411368031.2,252059915760.759,0.50353,25.0537366175241,1.02996252758904,152.669408981916,29017725,45628564.8628529
"575","Cameroon",2025,"Sub-Saharan Africa",86059722.9711703,86083079.248035,86073126.4807092,86096624.4735943,15.4728627787583,117397936317.064,256850176695.914,0.50353,25.6854324794817,1.05056177814083,151.717475446101,29771142,47451800.7157071
"576","Cameroon",2026,"Sub-Saharan Africa",87571134.245847,87596440.0958477,87585635.7641462,87611087.0039516,15.4728627787583,122633884276.805,262172489452.552,0.50353,26.3273723732681,1.07157301370364,150.771477463863,30530419,49325752.919818
"577","Cameroon",2027,"Sub-Saharan Africa",89027634.5448084,89054391.6276194,89042947.4368156,89069869.2169512,15.4728627787583,128170804151.903,268038837614.335,0.50353,26.9902895890812,1.09300447397772,149.83137802548,31298544,51256488.2837455
"578","Cameroon",2028,"Sub-Saharan Africa",90454713.3489579,90482614.1731622,90470665.9325004,90498751.1871844,15.4728627787583,134041026982.06,274468588382.473,0.50353,27.6737171864299,1.11486456345727,148.897140351994,32074177,53243180.448977
"579","Cameroon",2029,"Sub-Saharan Africa",91886325.7376897,91915174.9674084,91902811.9315971,91931857.4099824,15.4728627787583,139236494533.783,281485143135.522,0.50353,28.1647695012093,1.13716185472642,147.968727893773,32858732,55289545.9647747
"580","Cameroon",2030,"Sub-Saharan Africa",93462209.1806728,93491896.4423943,93479172.6947415,93509054.9161836,15.4728627787583,144633339855.348,288954757715.911,0.50353,28.6322747735623,1.15990509182094,147.046104329083,33652064,57396800.5594666
"581","Cameroon",2031,"Sub-Saharan Africa",95036123.9628302,95066589.2465565,95053536.21365,95084183.3012242,15.4728627787583,150239368405.222,296885938038.269,0.50353,29.0991880991822,1.18310319365736,146.129233562666,34450141,59559457.9933191
"582","Cameroon",2032,"Sub-Saharan Africa",96562653.7800045,96593869.3129072,96580503.036185,96611878.8891906,15.4728627787583,156062688183.615,305287972449.369,0.50353,29.5729254515717,1.20676525753051,145.218079724324,35255318,61782876.4982679
"583","Cameroon",2033,"Sub-Saharan Africa",98077503.6093356,98109462.82709,98095788.5793899,98127881.8128999,15.4728627787583,162111721459.085,314170939418.392,0.50353,30.04840794476,1.23090056268112,144.312607167523,36067888,64069001.459776
"584","Cameroon",2034,"Sub-Saharan Africa",99619791.1065112,99652494.3045449,99638512.5568149,99671322.1652668,15.4728627787583,168395216949.666,323545716657.12,0.50353,30.5200347563488,1.25551857393474,143.412780467991,36893171,66428888.0282397
"585","Cameroon",2035,"Sub-Saharan Africa",101181878.959468,101215335.626262,101201042.682138,101234577.213792,15.4728627787583,174922262476.141,333423991668.878,0.50353,30.9894207749331,1.28062894541344,142.518564422338,37724274,68851854.6719108
"586","Cameroon",2036,"Sub-Saharan Africa",102734047.374164,102768259.77972,102753654.891293,102787915.911215,15.4728627787583,181702298105.758,343818273727.866,0.50353,31.4615875064674,1.3062415243217,141.629924046676,38561305,71339527.8527871
"587","Cameroon",2037,"Sub-Saharan Africa",104256206.022857,104291175.143259,104276258.167901,104311245.919953,15.4728627787583,188745129805.401,354741907293.227,0.50353,31.9400681959029,1.33236635480814,140.746824575249,39406528,73897617.1614555
